would	 《時制の一致により will の過去形として》 / 《単純未来》『…だろう,』でしょう / 《意志未来》『…するつもりである,』しよう / 《過去の想像・推定》『…だったろう』 / 《過去における主語の強い意志・固執》『どうしても…しようとした,』必ず…した / 《過去における断続的な習慣・動作の反復》『…したものだった,』よく…した / 《無生物主語を伴って》《過去における可能性・能力》『…できた』 / 《仮定法条件の帰結節で》 / 《現在の事実に反する仮想》『…だろうに,』なのだが / 《would have+過去分詞の形で》《過去の事実に反する仮想》『…だったろうに,』だったのだが / 《条件節に用いて》…するつもりがある,する意志がある / 《控え目な表現・ていねいな表現として》『たぶん…だろう,』どうも…らしい;《二人称主語の疑問文で》…してください[ませんか] / 《人の特性・癖》『きまって…する,』…するのが癖だ / 《願望を表す動詞の目的語節において》(願わくは)…『であるよう』 / 《文》《願望》『…したい』 / …であればよいと思う(wish)
shave	 〈ひげなど〉‘を'『そる』《+『off』+『名』,+『名』+『off』》 / …‘を'削り落とす,うすく削り取る,〈木板〉‘に'かんなをかける / 《話》…‘を'かする,すれすれに通る / 『ひげをそる』,かみそりをあてる / (…を)かすめる《+『past』+『名』》 / 『ひげそり』 / すれすれに通ること,辛うじて逃れること 
sauce	 〈U〉〈C〉『ソース』 / 〈U〉果物の砂糖煮 / 《話》=sass / …‘を'ソースで味つけする;…‘に'ソースをかける / 《話》=sass 
stamp	 〈地面・床など〉‘を'『踏みつける』;〈足〉‘を'踏み鳴らす;…‘を'踏みにじる,踏みつぶす / …‘に'『印』(『判』)『を押す』;(印などを)…‘に'押す《+『名』+『with』+『名』〈印〉》;(…に)〈印など〉‘を'押す《+『名』〈印〉+『on』+『名』》 / 《しばしば受動態で》(印象などを)〈心など〉に刻みつける《+『名』+『with』+『名』〈印象〉》;(心などに)〈印象など〉‘を'刻みつける《+『名』〈印象〉+『on』(『in』)+『名』》 / …‘に'切手(印紙)をはる / (…であると)〈事が〉〈人〉‘を'はっきり示す《+『名』〈人〉+『as』+『名』(『形』)〈補〉》 / …‘を'押しつぶす,粉砕する;…‘を'粉々にして(…に)する《+『名』+『into』(『to』)+『名』》 / 踏みつける,足を踏み鳴らす;足を踏み鳴らして歩く / 〈C〉『切手』(postage stamp),[収入]印紙,証紙 / 〈C〉『判』,印章;押し型,抜き型 / 〈C〉(判・押し型などで押した)印,スタンプ,消し印,検印 / 〈U〉特質,特徴,印 / 〈U〉種類,型 / 〈C〉足踏み,踏みつけること,じだんだ 
float	 (液体・気体に)『浮く』,浮かぶ / 《副詞[句]を伴って》漂うように移動する;ふわふわと動く / (眼前・心に)浮かぶ;〈うわさなどが〉広まる / 〈為替相場が〉変動する / 《副詞[句]を伴って》(水中・空中に)…‘を'『浮かせる』,漂わせる / 〈会社・計画など〉‘を'起こす;〈債券〉‘を'発行する / 〈為替〉‘を'変動相場制にする / 浮くもの(釣りのうき,いかだ,浮標,浮き袋,救命具など) / (パレードなどの)山車(だし),台車 / フロート(アイスクリームを浮かせた軽い飲みもの)
brick	 〈C〉(1個の)『れんが』 / 〈U〉(材料としての)『れんが』 / 〈C〉(形が)れんがに似た物 / れんがの,れんが造りの / 〈建築物〉を=れんがで囲う,れんがで作る,…‘に'れんがを敷く《+『in』(『on』)+『名』》 
bunch	 (…の)『ふさ』(cluster),束《+『of』+『名』(複数)》 / 《話》(…の)群れ《+『of』+『名』(複数)》 / 一団(束)になる《+『up』》 / …'を'束(ふさ)にする
cream	 〈U〉『クリーム』(牛乳の上部に沙まる脂肪分) / 〈C〉〈U〉『クリーム菓子』,クリーム製食品,クリーム状の食品 / 〈C〉〈U〉『化床クリーム』;クリーム状の薬品 / 《the cream》(…の)最上の部分,真髄,粋《+『of』+『名』》 / 〈U〉クリーム色 / 〈牛乳〉‘から'クリームをとる / …'を'クリーム状にする / 〈野菜・乳〉'を'クリーム(または牛乳)で煮る
crush	 …'を'『押しつぶす』,ぺしゃんこにする《+『up』+『名,』+『名』+『up』》 / …'を'『砕く』,粉々にする;…を砕いて(…に)する《+『名』+『into』+『名』》 / (…に)…'を'押しつける《+『名』+『against』+『名』》;(…に)…'を'押し込む《+『名』+『into』+『名』》 / (…から)…'を'押しつぶして出す,しぼり出す《+『名』+『from』+『名』》 / …'を'ぎゅっと抱きしめる / …'を'打ちのめす,打ちひしぐ《+『down』+『名,』+『名』+『down』》 / 『つぶれる』,ぺしゃんこになる;くしゃくしゃになる / 『砕ける』,粉々になる / (…に)押し合って入る,殺到する《+『into』(『through』)+『名』》 / 〈C〉《単数形で》押し合いへし合い,殺到 / 〈C〉《話》《単数形で》大混雑の集会,すしづめの集会 / 〈U〉《英》(押しつぶして出した)果汁 / 〈C〉《話》(…に)のぼせ上がること,(…への)べたぼれ《+『on』+『名』》;のぼせ上がった相手 
fancy	 〈U〉(取りとめのない)『空想』,想像 / 空想したもの,根拠のない考え(意見) / 〈C〉(…に対する)『好み』(liking)《+『for』+『名』(do『ing』)》 / 『装飾的な』,意匠をこらした / 空想に基づく,気まぐれな / 《名詞の前にのみ用いて》(商品が)高級な,特選の,極上の / 《名詞の前にのみ用いて》《話》(値段が)法外な / 高度の技術の(を要する),こみ入った / 《名詞の前にのみ用いて》(動植物が)珍種の / …‘を'『空想する』,想像する(《米》imagine) / …‘を'『好む』 / 《『fancy doing』》…したい気がする / (なんとなく)…‘と'『思う』 
decay	 『腐る』,朽ちる / 〈繁栄・健康などが〉『衰える』,衰退する;〈活力などが〉低下する / 〈他〉 / …'を'『腐らせる』 / 『腐敗』;腐朽 / 『衰微』,衰え / (放射性物質の)自然崩壊 
tribe	 《集合的に》《単数・複数扱い》『部族』 / 《しばしば軽べつして》(…の)仲間,集団,連中《+of+名》 / (動植物の)族(family(科)と genus(属)の間の分類単位) 
skirt	 (女性用の)『スカート』 / (コート・ドレスなどの腰から下の)すそ / (車両・機械などの)すそ部,覆い,スカート / 《複数形で》(…の)周辺,はずれ,郊外《+『of』+『名』》 / 《俗》女,娘(特にa bit of skirt,a piece of skirtの形で快楽の対象としてふざけて) / …‘の'縁(境)にある / …‘を'縁(境)に沿って行く,周辺を回って通る / 〈問題など〉‘を'回避する / (…の)縁(境)にある《+『along』(『around』)+『名』》 / (…の)縁(境)に沿って行く《+『along』(『around』)+『名』》
boast	 (…を)『自慢する』,鼻にかける《+『about』(『of』)+『名』(do『ing』)》 / …'を'『自慢する』,鼻にかける / …'を'『誇りとして持っている』,‘が'自慢の種である / 誇り / 『自慢』,自慢話 
cruel	 (人・行動が)『残酷な』,無慈悲な / 『悲惨な』,むごい
mouse	 『ハツカネズミ』(英米の家によく出没する小型のネズミ;ほが国の家に出没する大型のネズミはrat) / 《話》臆病者,内気な人 / 《猫が》ネズミを捜す(捕らえる) / 《人が》(…を)あさり歩く《+『about』+『名』》
alike	 『同じように』,等しく(similarly) / (複数の人・物が)似ている(similar)
juice	 〈U〉〈C〉(果物・野菜・肉などの)『汁』,『液』,ジュース;〈U〉(植物の)樹液 / 《複数形で》(動物の)体液,分泌液 / 〈U〉《俗》電気;ガソリン,燃料オイル / …‘から'汁をしぼり取る
shelf	 『たな』 / (がけの)岩だな;(海・川の)砂州,岩礁
wreck	 《しばしば受動態で》〈乗り物など〉‘を'『江破(難破)させる』,破壊する / 《しばしば受動態で》〈人〉‘を'遭難させる / (一般に)…‘を'『だめにする』,台なしにする;取り壊す / 〈U〉(…の)『大破』,破壊,難破;破滅,崩壊《+of+名》 / 〈C〉(乗り物・建物などの)『残がい』 / 〈C〉やせ衰えた人,打ちひしがれた人 / 〈C〉壊れたもの,故障品 
width	 〈U〉〈C〉(幅の)『広さ』,幅,横 / 〈C〉一定の幅のもの(織物)
paste	 (接着用の)『のり』 / (一般に)のり状のもの / (菓子を作るための)練り粉,ペースト / (人造宝石用材料の)鉛ガラス;模造宝石 / (…に)…‘を'『のりではる』《+『down』+『名』+『in(on)』+『名』》 / (…を)…‘に'のりではり付ける《+『名』+『with』+『名』》 / 《俗》<顔・体など>‘を'強打する,なぐりつける 
thief	 『泥棒』,(特に)こそどろ,空き巣 
straw	 〈U〉《集合的に》『麦わら』,『わら』 / 〈C〉(1本の)『わら』 / 〈C〉(飲み物を飲むときに使う)『ストロー』 / 〈U〉《しばしばa~》《否定文で用いて》つまらない物;ごくわずか
upset	 『…‘を'ひっくり返す』,転覆させる / 〈計画など〉‘を'『だめにする』,だいなしにする,狂わす / 〈人〉‘の'『心を乱す』,'を'ろうばいさせる / 〈体など〉‘の'調子を狂わせる / 《米》(競技などで)〈相手〉'を'思いがけなく負かす / ひっくり返った / (計画などが)だいなしの,狂った / 《捕語にのみ用いて》(精神的に)混乱した,ろうばいした / (体などの)調子がおかしくなった / 〈U〉〈C〉『転倒』,転落 / 〈C〉(計画.心などの)『混乱』,乱れ;(体の)不調 / 〈C〉《話》けんか / 〈C〉《米》(競技などでの)番狂わせ 
towel	 『タオル』,手ぬぐい,手ふき / …‘を'タオルでふく
stove	 『ストーブ』,暖炉 / 『料理用レンジ』(cooker)
rival	 (…の)『競争相手』,『ライバル』,好敵手,匹敵する人(物)《+『for』+『名』》,(…における)競争相手《+『in』+『名』》 / 競争する,対坑する / (…において)…‘と'『競争する』《+『名』+『in』+『名』(do『ing』)》 / 《おもに米》(…において)…‘に'『匹敵する』,‘と'肩を並べる《+『名』+『in』+『名』(do『ing』)》
roast	 (オーブンまたは直接火で)〈肉など〉‘を'『焼く』,あぶる,蒸し焼きにする / …‘を'『炒』>い)『る』,焙(ほう)じる / …‘を'暖める,熱くする / 《話》〈人〉‘を'こっぴどく叱る,‘に'お灸(おきゅう)をすえる;…‘を'こきおろす / 『笑ける』,笑かれる,あぶられる / 炒られる,焙じられる / 《通例進行形で》焼けるように暑(熱)い / 〈U〉〈C〉(大きな塊の)焼肉;焼肉用の肉 / 〈C〉《おもに米語》野外の焼肉パーティー / 焼いた,あぶった;炒った
wrist	 手首関節;(シャツなどの)そで口 
thumb	 『親指』;(手袋などの)親指の部分 / 〈本のページ〉‘を'親指でめくる / 《話》〈ヒッチハイカーが〉〈便乗〉‘を'親指を立てて頼む / ヒッチハイクする
pinch	 (…で)…‘を'『つねる』,『つまむ』《+『名』+『in』+『名』》 / (靴などが)…‘を'『締めつける』 / 《しばしば受動態で》〈悲しみ・苦通などが〉〈人・心・体など〉‘を'苦しめる,悩ます / (木などの形を整えたりするために)〈芽・若枝など〉‘を'摘み取る《+『off』(『back』)+『名,名』+『off』(『back』)》 / 《俗》…‘を'盗む,巻き上げる / 《話》《受動態で》…‘を'逮捕する / 〈靴・帽子などが〉『締めつける』,きつく締まる / (…を)けちけちする《+『on』+『名』》 / (…を)『つねる』(『つまむ』)『こと』《+『on』+『名』》;(靴などが)きつくて痛いこと / (…の)一つまみ,少量《+『of』+『名』》 / 《the pinch》(飢え・金銭上の)苦しみ,難儀 / 危機,危急の時 / 《属》盗み / 《俗》逮捕
drown	 …‘を'『溺死』(できし)『させる』 / (…で)…‘を'水浸しにする,ずぶぬれにさせる《+『名』+『in』(『with』)+『名』》 / 〈大きな音が〉〈ほかの音〉‘を'かき消す《+『out』+『名,』+『名』+『out』》 / (仕事・研究などに)〈自分〉‘を'熱中させる,(酒などで)〈憂いなど〉‘を'晴らす,紛らす《+『名』+『in』+『名』》 / 『溺死』(できし)『する』 
aloud	 声を出して / 大声で(loudly)
scorn	 〈U〉(…の,…に対する)『軽べつ』,さげすみ《+『of』(『for』)+『名』》 / 〈C〉(…の)軽べつの的,物笑いの種《+『of』(『to』)+『名』》 / …‘を'『軽べつする』,さげすむ / (軽べつして)…‘を'『はねつける』
trunk	 (枝および根と区別して樹木の)『幹』 / (人・動物の)胴体 / 『トランク』旅行用箱型の大型かばん) / 象の鼻 / 《複数形で》(文泳などスポーツ競技用の)男子用パンツ,チランクス / 《米》(自動車後部の)荷物入れ,トランク(《英》boot) / =trunk line 
spoil	 〈物事〉‘を'『だいなしにする』,損なう / 〈子供など〉‘を'『甘やかしてだめにする』,増長させる / 《古》(…を)…‘から'奪う《+『名』+『of』+『名』》 / 〈物が〉『だいなしになる』,だめになる / 〈C〉《複数形で》『略奪品』,強奪品,戦利品 / 〈C〉《複数形で》《おもに米》(政権をとった政党が支持者に与える)利権,役職 / 〈U〉(採鉱・発掘などの際に廃棄される,土・石などの)くずもの 
sting	 〈動植物が〉(針・とげなどで)…‘を'『刺す』 / 〈神・舌など〉‘を'『ひりひりさせる』,ちくちくさせる / 〈人〉‘の'『心を苦しめる』 / 〈人〉‘を'刺激して(…)させる,駆りたてて(…)させる《+『名』+『to』(『into』)+『名』(do『ing』)》 / 《俗》(…という大金を)〈人〉‘から'だまし取る,ぼる,《+『名』〈人〉+『for』+『名』》 / 〈ハチなどが〉『刺す』 / 〈体の一部が〉刺すように痛む / 〈香辛料などが〉ひりひりした味方がする / 苦しむ,いらいらする;〈つらい事などが〉心を苦しめる / 〈C〉『刺すこと』 / 〈C〉〈U〉『刺し傷』,刺された痛み / 〈C〉〈U〉(心・体の)激しい痛み / 〈C〉皮肉,あてこすり / 〈C〉(ハチなどの)針,(ヘビなどの)毒牙,(バラなどの)とげ
ditch	 (地面に掘った)『溝』,堀,潅漑(かんがい)用水路,排水溝 / …‘に'溝を掘る,溝を巡らせる / 〈車など〉‘を'溝へ落とす;〈列車〉‘を'脱線させる / 〈飛行機〉‘を'水上に不時着させる / 《俗》…‘を'突然に捨てる(見捨てる) / 水上に不時着する
cough	 〈C〉『せき』,せき払 / 《a ~》よくせきの出る病気 / 『せきをする』,せき払いする / せきのような音を出す / …'を'せきをして吐き出す《+『up』(『out』)+『名,』+『名』+『up』(『out』)》 
sword	 『刀』,剣 / 《the ~》武力,兵力
widen	 …‘を'広くする / 広くなる
scent	 〈U〉〈C〉『におい』(smell),かおり,香気 / 〈C〉《単数形で》(動物・人が残す)『臭跡』 / 〈C〉《単数形で》(人・物を見つけ出す)経路,方法,手がかり / 〈U〉《しばしばA~》嗅覚 / 〈U〉《おもに英》香水 / 〈猟犬などが〉…‘を'かぎつける《+『out』+『名,』+『名』+『out』》 / 〈人が〉…‘を'かぎつける,感づく;〈…だ〉‘と'感づく《+『that節』》 / 《通例受動態で》…‘に'香水をつける;(香水などで)…‘を'におわせる,よいかおりにする《+『with』+『名』》
waist	 『腰』,腰部 / (衣服の)『胴部』,ウエスト / (バイオリン・ギターなどの)中央のくびれ 
pearl	 〈C〉『真珠』,パール / 〈C〉(形・光沢などが)真珠のようなもの / 〈C〉(真珠のように)価値のあるもの(人),傑出したもの(人) / =mother=of-pearl / (また『pearl gray』)〈U〉真珠色 / 真珠の[ような] / 真珠色の / 真珠を採取する
beast	 《文》(人間以外の)『動物』,(特に鳥・魚に対して)四足獣;(人間に対する)『けもの』,畜生 / (けもののように)粗暴な人 / 《英話》《~a》(…の)とてもいやなこと(物)《+『of』+『名』》 
vowel	 母音 / 《話》母音字 / 母音の 
wheat	 小麦 
flour	 『小表粉』,メリケン粉 / (一般に穀類の)粉末,粉 / …‘に'粉をまぶす;〈穀物〉‘を'粉にひく 
ounce	 〈C〉『オンス』(重量の単位;《略》『oz.』;常衡で1オンスは1/16ポンド(28.35gr.),金衡で1/12ポンド(31.1gr.)) / 〈C〉液量オンス(1オンスは《米》では1/16パイント(pint),《英》では1/20パイントに等しい) / 《通例否文で》《an ~》少量(の…)《+『of』+『名』》 
strap	 (革製や布製の)『ひも』,バンド,帯;(電車の)つり革 / (金属製の)帯金,バンド / 《the ~》むち打ち,せっかん・ひも(バンド)で縛る,留める《+『名』+『on』(『in, into』)+『名』》・むちで打つ・《英》=tape{動 
spade	 『すき』踏みぐわ(シャベルを違って金属部分が平ら) / 〈土など〉‘を'すきで掘る
basin	 『たらい』,はぢ(bowl);洗面器 / (…の)たらい1杯[分]《+『of』+『名』》 / (自然または人工の)水たまり,池 / (川の)流域;くぼ地,盆地 / 入江,内湾,船だまり 
cheat	 〈人〉'を'『だます』,欺く / 《文》…'を'うまくのがれる / (…で)〈人が〉『不正をする』,カンニングする《+『at』(『on, in』)+『名』》 / 《話》(浮帰などで夫または妻を)裏切る《+『on』+『名』》 / 〈U〉〈C〉詐欺,ぺてん / 〈C〉ずるいやつ,詐欺師,やま師
feast	 (宗教的な)『祝祭』,祭礼;祭日,祝日 / 祝宴,宴会(banquet);ごちそう / (…の)目や耳を楽しませるもの,(…にとっての)楽しみ《+『for』(『to』)+『名』》 / (…で)…‘に'『ごちそうする』,‘を'もてなす《+名+on(upon)+名》 / 《文》(…で)〈目や耳〉‘を'喜ばせる,楽しませる《+『名』+『on』(『upon』)+『名』》 / 宴を張って〈時〉‘を'過ごす《+『名』+『away』》 / (…の)祝宴に列する,(…を)ごちそうになる《+『on』(『upon』)+『名』》 
thorn	 〈C〉(植物の)『とげ』,針:No / 〈C〉〈U〉《複合語を作って》とげのある植物
chalk	 『チョーク』,白墨(はくぼく) / 〈U〉白亜,チョーク(白自で柔らかく,粉末になりやすい石灰岩) / 〈C〉チョークでつけた印,チョークでかいた絵 / …'を'チョークで書く(印をつける) / …‘に'チョークで塗る(こする),チョークで白くする 
ripen	 〈果物・時機などが〉『熟する』,〈人などが〉成熟する / …‘を'『熟させる』,成熟させる
quart	 クォート(液量の単位で《米》約0.95リットル,《英》約1.13リットル;乾量の単位で《米》約1.1リットル,《英》約1.13リットル;《略》『qt.』,複数形は『qts.』) / 1クォート容器(ます・びん・つぼなど)
scold	 〈人〉‘を'『しかる』,‘に'小言を言う / しかる;(…に向かって)ののしる《+『at』+『名』(do『ing』)》 / 口やかましい人;がみがみ女 
whose	 《疑問代名詞》 / 『だれの』 / 『だれのもの』 / 《関係代名詞》 / 《制限用法》『その』(…する,…した)『ところの』[人,物,事] / 《非制限用法》『そして(しかし)その人の…は(が,お,に)』
